"UserID","Cluster"
1,2
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,1
14,2
15,1
16,1
17,1
18,1
19,2
20,1
21,1
22,1
23,1
24,2
25,2
26,1
27,1
28,2
29,2
30,2
31,1
32,1
33,1
34,1
35,2
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,2
44,2
45,1
46,1
47,1
48,1
49,1
50,2
51,1
52,1
53,2
54,2
55,2
56,2
57,1
58,1
59,1
60,1
61,2
62,1
63,2
64,1
65,2
66,1
67,2
68,1
69,1
70,2
71,2
72,2
73,1
74,1
75,1
76,1
77,1
78,1
79,2
80,2
81,2
82,1
83,1
84,2
85,1
86,1
87,1
88,1
89,1
90,2
91,2
92,1
93,1
94,2
95,2
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,2
104,1
105,1
106,2
107,2
108,1
109,1
110,2
111,2
112,2
113,1
114,2
115,1
116,2
117,2
118,2
119,1
120,2
121,1
122,2
123,1
124,1
125,1
126,2
127,2
128,1
129,1
130,1
131,2
132,1
133,2
134,2
135,2
136,1
137,2
138,1
139,2
140,2
141,2
142,1
143,1
144,2
145,1
146,1
147,1
148,2
149,1
150,2
151,2
152,1
153,1
154,1
155,2
156,2
157,1
158,2
159,2
160,2
161,1
162,1
163,2
164,1
165,1
166,1
167,2
168,2
169,1
170,1
171,2
172,2
173,1
174,2
175,2
176,2
177,1
178,2
179,2
180,1
181,2
182,2
183,2
184,1
185,1
186,1
187,1
188,1
189,2
190,2
191,2
192,2
193,2
194,1
195,1
196,2
197,1
198,2
199,2
200,2
201,2
202,2
203,1
204,2
205,2
206,2
207,2
208,1
209,2
210,1
211,1
212,1
213,2
214,1
215,2
216,2
217,2
218,2
219,1
220,1
221,1
222,2
223,2
224,1
225,1
226,2
227,1
228,1
229,2
230,2
231,2
232,1
233,1
234,2
235,1
236,2
237,1
238,2
239,1
240,1
241,2
242,2
243,1
244,2
245,1
246,2
247,1
248,2
249,2
250,1
251,1
252,1
253,1
254,2
255,1
256,2
257,2
258,2
259,1
260,1
261,2
262,1
263,1
264,2
265,1
266,1
267,2
268,1
269,2
270,1
271,2
272,2
273,1
274,2
275,1
276,2
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,2
288,2
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,2
299,1
300,1
301,1
302,1
303,2
304,1
305,1
306,2
307,2
308,1
309,2
310,1
311,1
312,1
313,2
314,1
315,1
316,1
317,2
318,2
319,1
320,1
321,2
322,1
323,2
324,1
325,2
326,2
327,1
328,2
329,1
330,2
331,2
332,2
333,2
334,1
335,1
336,1
337,2
338,1
339,2
340,1
341,2
342,2
343,1
344,1
345,1
346,1
347,1
348,2
349,1
350,1
351,1
352,2
353,1
354,2
355,2
356,2
357,1
358,1
359,1
360,2
361,2
362,2
363,1
364,1
365,2
366,2
367,2
368,1
369,1
370,2
371,1
372,1
373,1
374,2
375,2
376,2
377,2
378,1
379,2
380,1
381,2
382,1
383,1
384,2
385,2
386,1
387,2
388,1
389,2
390,1
391,1
392,2
393,1
394,1
395,2
396,1
397,2
398,2
399,1
400,2
401,1
402,2
403,2
404,1
405,2
406,1
407,1
408,2
409,1
410,1
411,2
412,1
413,1
414,1
415,2
416,2
417,2
418,2
419,1
420,1
421,2
422,2
423,2
424,2
425,1
426,2
427,2
428,1
429,1
430,1
431,2
432,1
433,1
434,2
435,2
436,1
437,2
438,2
439,1
440,1
441,1
442,2
443,1
444,1
445,1
446,2
447,2
448,2
449,1
450,1
451,2
452,1
453,2
454,2
455,2
456,2
457,1
458,1
459,2
460,1
461,1
462,1
463,1
464,2
465,2
466,2
467,2
468,1
469,2
470,1
471,1
472,2
473,1
474,2
475,1
476,2
477,1
478,1
479,2
480,1
481,1
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,1
490,2
491,2
492,2
493,1
494,1
495,2
496,1
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,1
506,2
507,1
508,1
509,1
510,1
511,1
512,2
513,2
514,2
515,2
516,1
517,2
518,1
519,1
520,2
521,1
522,1
523,1
524,2
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,2
536,1
537,2
538,1
539,2
540,1
541,1
542,1
543,1
544,1
545,2
546,1
547,2
548,1
549,2
550,2
551,1
552,1
553,1
554,2
555,2
556,1
557,1
558,1
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,1
567,2
568,2
569,1
570,1
571,1
572,2
573,2
574,1
575,1
576,1
577,2
578,1
579,2
580,1
581,1
582,2
583,2
584,2
585,1
586,2
587,2
588,2
589,2
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,2
599,1
600,1
601,1
602,2
603,2
604,2
605,1
606,2
607,2
608,1
609,1
610,2
611,1
612,2
613,2
614,2
615,1
616,1
617,1
618,2
619,1
620,1
621,1
622,2
623,2
624,1
625,2
626,1
627,1
628,1
629,2
630,2
631,1
632,1
633,2
634,2
635,1
636,2
637,2
638,1
639,1
640,2
641,1
642,1
643,1
644,2
645,2
646,1
647,2
648,2
649,1
650,1
651,2
652,1
653,2
654,2
655,1
656,1
657,2
658,1
659,1
660,1
661,1
662,1
663,2
664,2
665,1
666,1
667,1
668,1
669,1
670,2
671,1
672,2
673,1
674,1
675,2
676,2
677,1
678,1
679,1
680,1
681,2
682,2
683,2
684,1
685,2
686,2
687,1
688,1
689,2
690,1
691,2
692,1
693,1
694,2
695,2
696,1
697,1
698,1
699,1
700,1
701,2
702,2
703,2
704,1
705,1
706,2
707,2
708,2
709,1
710,1
711,2
712,1
713,1
714,2
715,1
716,1
717,2
718,2
719,2
720,2
721,2
722,2
723,2
724,1
725,1
726,2
727,1
728,2
729,1
730,2
731,2
732,2
733,2
734,1
735,2
736,2
737,1
738,1
739,1
740,2
741,1
742,1
743,2
744,2
745,1
746,1
747,1
748,2
749,1
750,1
751,1
752,1
753,2
754,1
755,1
756,2
757,1
758,1
759,2
760,2
761,2
762,1
763,2
764,1
765,1
766,2
767,2
768,1
769,1
770,2
771,2
772,1
773,2
774,2
775,1
776,2
777,2
778,2
779,1
780,2
781,1
782,2
783,1
784,1
785,1
786,2
787,2
788,1
789,1
790,2
791,1
792,1
793,1
794,2
795,1
796,2
797,1
798,2
799,2
800,1
801,1
802,1
803,2
804,2
805,1
806,1
807,2
808,2
809,2
810,1
811,1
812,1
813,2
814,2
815,2
816,2
817,2
818,1
819,2
820,2
821,2
822,2
823,2
824,2
825,1
826,1
827,1
828,2
829,2
830,2
831,2
832,2
833,2
834,2
835,2
836,1
837,2
838,2
839,1
840,2
841,1
842,1
843,2
844,1
845,1
846,1
847,2
848,2
849,2
850,2
851,2
852,2
853,2
854,1
855,2
856,1
857,2
858,1
859,2
860,1
861,2
862,1
863,1
864,1
865,1
866,1
867,2
868,1
869,1
870,1
871,1
872,1
873,2
874,2
875,1
876,1
877,2
878,2
879,1
880,1
881,2
882,1
883,2
884,2
885,2
886,1
887,1
888,1
889,2
890,1
891,2
892,1
893,1
894,1
895,1
896,1
897,2
898,1
899,1
900,1
901,2
902,1
903,1
904,1
905,1
906,2
907,1
908,2
909,1
910,1
911,2
912,1
913,1
914,1
915,1
916,1
917,2
918,2
919,1
920,2
921,1
922,1
923,2
924,2
925,2
926,2
927,1
928,2
929,2
930,2
931,2
932,2
933,1
934,1
935,2
936,2
937,2
938,2
939,1
940,2
941,2
942,1
943,1
944,1
945,1
946,2
947,2
948,1
949,2
950,2
951,2
952,2
953,2
954,1
955,1
956,2
957,1
958,2
959,1
960,2
961,2
962,2
963,2
964,2
965,1
966,2
967,1
968,1
969,2
970,1
971,1
972,2
973,1
974,2
975,1
976,1
977,2
978,1
979,1
980,1
981,2
982,1
983,1
984,1
985,1
986,2
987,2
988,2
989,2
990,1
991,2
992,1
993,2
994,2
995,2
996,1
997,2
998,2
999,1
1000,2
1001,2
1002,2
1003,1
1004,2
1005,2
1006,1
1007,2
1008,1
1009,2
1010,1
1011,2
1012,2
1013,2
1014,2
1015,2
1016,2
1017,1
1018,2
1019,2
1020,2
1021,1
1022,2
1023,1
1024,2
1025,1
1026,1
1027,1
1028,2
1029,2
1030,2
1031,2
1032,2
1033,2
1034,2
1035,2
1036,1
1037,2
1038,1
1039,2
1040,2
1041,1
1042,2
1043,1
1044,2
1045,1
1046,2
1047,1
1048,2
1049,2
1050,1
1051,2
1052,1
1053,2
1054,2
1055,1
1056,2
1057,2
1058,1
1059,2
1060,1
1061,1
1062,2
1063,1
1064,1
1065,1
1066,1
1067,2
1068,1
1069,2
1070,1
1071,2
1072,1
1073,1
1074,1
1075,2
1076,1
1077,1
1078,1
1079,1
1080,2
1081,1
